GEO.id,GEO.id2,GEO.display-label,D001,D002,D005,D006,D007,D008,D009,D010
Id,Id2,Geography,Total:,Hispanic or Latino,Not Hispanic or Latino: - Population of one race: - White alone,Not Hispanic or Latino: - Population of one race: - Black or African American alone,Not Hispanic or Latino: - Population of one race: - American Indian and Alaska Native alone,Not Hispanic or Latino: - Population of one race: - Asian alone,Not Hispanic or Latino: - Population of one race: - Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino: - Population of one race: - Some Other Race alone
1000000US440010301003007,4.40E+14,"Block 3007, Block Group 3, Census Tract 301, Bristol County, Rhode Island",8,0,8,0,0,0,0,0
1000000US440010301003008,4.40E+14,"Block 3008, Block Group 3, Census Tract 301, Bristol County, Rhode Island",19,0,19,0,0,0,0,0
1000000US440010301003009,4.40E+14,"Block 3009, Block Group 3, Census Tract 301, Bristol County, Rhode Island",10,0,8,2,0,0,0,0
1000000US440010301003010,4.40E+14,"Block 3010, Block Group 3, Census Tract 301, Bristol County, Rhode Island",33,0,33,0,0,0,0,0
1000000US440010301003011,4.40E+14,"Block 3011, Block Group 3, Census Tract 301, Bristol County, Rhode Island",59,1,58,0,0,0,0,0
1000000US440010301003012,4.40E+14,"Block 3012, Block Group 3, Census Tract 301, Bristol County, Rhode Island",13,0,13,0,0,0,0,0
1000000US440010301003013,4.40E+14,"Block 3013, Block Group 3, Census Tract 301, Bristol County, Rhode Island",36,0,35,0,0,1,0,0
1000000US440010301003014,4.40E+14,"Block 3014, Block Group 3, Census Tract 301, Bristol County, Rhode Island",34,0,33,0,0,0,0,0
1000000US440010301003015,4.40E+14,"Block 3015, Block Group 3, Census Tract 301, Bristol County, Rhode Island",37,0,37,0,0,0,0,0
1000000US440010301003016,4.40E+14,"Block 3016, Block Group 3, Census Tract 301, Bristol County, Rhode Island",32,0,31,0,0,0,0,0
1000000US440010301003017,4.40E+14,"Block 3017, Block Group 3, Census Tract 301, Bristol County, Rhode Island",119,2,116,0,0,1,0,0
1000000US440010301003018,4.40E+14,"Block 3018, Block Group 3, Census Tract 301, Bristol County, Rhode Island",11,0,11,0,0,0,0,0
1000000US440010301003019,4.40E+14,"Block 3019, Block Group 3, Census Tract 301, Bristol County, Rhode Island",21,1,20,0,0,0,0,0
1000000US440010301003020,4.40E+14,"Block 3020, Block Group 3, Census Tract 301, Bristol County, Rhode Island",15,2,12,1,0,0,0,0
1000000US440010301003021,4.40E+14,"Block 3021, Block Group 3, Census Tract 301, Bristol County, Rhode Island",0,0,0,0,0,0,0,0
1000000US440010301003022,4.40E+14,"Block 3022, Block Group 3, Census Tract 301, Bristol County, Rhode Island",15,0,15,0,0,0,0,0
1000000US440010301003023,4.40E+14,"Block 3023, Block Group 3, Census Tract 301, Bristol County, Rhode Island",18,0,17,1,0,0,0,0
1000000US440010301003024,4.40E+14,"Block 3024, Block Group 3, Census Tract 301, Bristol County, Rhode Island",14,0,14,0,0,0,0,0
1000000US440010301003025,4.40E+14,"Block 3025, Block Group 3, Census Tract 301, Bristol County, Rhode Island",15,1,14,0,0,0,0,0
1000000US440010301003026,4.40E+14,"Block 3026, Block Group 3, Census Tract 301, Bristol County, Rhode Island",13,0,13,0,0,0,0,0
1000000US440010301003027,4.40E+14,"Block 3027, Block Group 3, Census Tract 301, Bristol County, Rhode Island",4,0,4,0,0,0,0,0
1000000US440010301003028,4.40E+14,"Block 3028, Block Group 3, Census Tract 301, Bristol County, Rhode Island",18,0,18,0,0,0,0,0
1000000US440010301003029,4.40E+14,"Block 3029, Block Group 3, Census Tract 301, Bristol County, Rhode Island",13,0,13,0,0,0,0,0
1000000US440010301003030,4.40E+14,"Block 3030, Block Group 3, Census Tract 301, Bristol County, Rhode Island",0,0,0,0,0,0,0,0
1000000US440010301003031,4.40E+14,"Block 3031, Block Group 3, Census Tract 301, Bristol County, Rhode Island",0,0,0,0,0,0,0,0
1000000US440010301003032,4.40E+14,"Block 3032, Block Group 3, Census Tract 301, Bristol County, Rhode Island",0,0,0,0,0,0,0,0
1000000US440010301004000,4.40E+14,"Block 4000, Block Group 4, Census Tract 301, Bristol County, Rhode Island",17,0,17,0,0,0,0,0
1000000US440010301004001,4.40E+14,"Block 4001, Block Group 4, Census Tract 301, Bristol County, Rhode Island",13,0,13,0,0,0,0,0
1000000US440010301004002,4.40E+14,"Block 4002, Block Group 4, Census Tract 301, Bristol County, Rhode Island",8,0,8,0,0,0,0,0
1000000US440010301004003,4.40E+14,"Block 4003, Block Group 4, Census Tract 301, Bristol County, Rhode Island",16,0,16,0,0,0,0,0
1000000US440010301004004,4.40E+14,"Block 4004, Block Group 4, Census Tract 301, Bristol County, Rhode Island",27,1,25,0,0,1,0,0
1000000US440010301004005,4.40E+14,"Block 4005, Block Group 4, Census Tract 301, Bristol County, Rhode Island",16,1,15,0,0,0,0,0
1000000US440010301004006,4.40E+14,"Block 4006, Block Group 4, Census Tract 301, Bristol County, Rhode Island",13,0,13,0,0,0,0,0
1000000US440010301004007,4.40E+14,"Block 4007, Block Group 4, Census Tract 301, Bristol County, Rhode Island",15,0,15,0,0,0,0,0
1000000US440010301004008,4.40E+14,"Block 4008, Block Group 4, Census Tract 301, Bristol County, Rhode Island",7,0,7,0,0,0,0,0
1000000US440010301004009,4.40E+14,"Block 4009, Block Group 4, Census Tract 301, Bristol County, Rhode Island",12,0,12,0,0,0,0,0
1000000US440010301004010,4.40E+14,"Block 4010, Block Group 4, Census Tract 301, Bristol County, Rhode Island",27,0,25,0,0,0,0,0
1000000US440010301004011,4.40E+14,"Block 4011, Block Group 4, Census Tract 301, Bristol County, Rhode Island",3,0,3,0,0,0,0,0
1000000US440010301004012,4.40E+14,"Block 4012, Block Group 4, Census Tract 301, Bristol County, Rhode Island",20,0,17,0,0,3,0,0
1000000US440010301004013,4.40E+14,"Block 4013, Block Group 4, Census Tract 301, Bristol County, Rhode Island",28,0,28,0,0,0,0,0
1000000US440010301004014,4.40E+14,"Block 4014, Block Group 4, Census Tract 301, Bristol County, Rhode Island",19,0,16,1,0,0,0,0
1000000US440010301004015,4.40E+14,"Block 4015, Block Group 4, Census Tract 301, Bristol County, Rhode Island",21,0,19,0,0,2,0,0
1000000US440010301004016,4.40E+14,"Block 4016, Block Group 4, Census Tract 301, Bristol County, Rhode Island",22,0,21,0,0,0,0,0
1000000US440010301004017,4.40E+14,"Block 4017, Block Group 4, Census Tract 301, Bristol County, Rhode Island",232,10,210,3,0,1,0,3
1000000US440010301004018,4.40E+14,"Block 4018, Block Group 4, Census Tract 301, Bristol County, Rhode Island",0,0,0,0,0,0,0,0
1000000US440010301004019,4.40E+14,"Block 4019, Block Group 4, Census Tract 301, Bristol County, Rhode Island",6,0,6,0,0,0,0,0
