county,office,district,party,candidate,votes
Cumberland,Non-Partisan School Committee Cumberland District 2,,,Total,2372
Cumberland,Non-Partisan School Committee Cumberland District 2,,NON,Karen A. Freedman,2339
Cumberland,Non-Partisan School Committee Cumberland District 2,,NON,WRITE-IN,33
Cumberland,Non-Partisan School Committee Cumberland District 3,,,Total,2015
Cumberland,Non-Partisan School Committee Cumberland District 3,,NON,Jennifer Renee Bernardo,1993
Cumberland,Non-Partisan School Committee Cumberland District 3,,NON,WRITE-IN,22
Cumberland,Non-Partisan School Committee Cumberland District 4,,,Total,2665
Cumberland,Non-Partisan School Committee Cumberland District 4,,NON,Heidi A. Waters,2076
Cumberland,Non-Partisan School Committee Cumberland District 4,,NON,David S. Francazio,571
Cumberland,Non-Partisan School Committee Cumberland District 4,,NON,WRITE-IN,18
Cumberland,Non-Partisan School Committee Cumberland District 5,,,Total,1973
Cumberland,Non-Partisan School Committee Cumberland District 5,,NON,Stephen F. Hess,1941
Cumberland,Non-Partisan School Committee Cumberland District 5,,NON,WRITE-IN,32
Cumberland,Non-Partisan Fire Committee At-Large TOWN OF CUMBERLAND,,,Total,18924
Cumberland,Non-Partisan Fire Committee At-Large TOWN OF CUMBERLAND,,NON,Dana L. Jones,5251
Cumberland,Non-Partisan Fire Committee At-Large TOWN OF CUMBERLAND,,NON,Paul W. Santoro,4746
Cumberland,Non-Partisan Fire Committee At-Large TOWN OF CUMBERLAND,,NON,Bruce A. Lemois,4675
Cumberland,Non-Partisan Fire Committee At-Large TOWN OF CUMBERLAND,,NON,Charles D. Wilk,4112
Cumberland,Non-Partisan Fire Committee At-Large TOWN OF CUMBERLAND,,NON,WRITE-IN,140
Cumberland,Non-Partisan Fire Committee Cumberland District 1,,,Total,169
Cumberland,Non-Partisan Fire Committee Cumberland District 1,,NON,WRITE-IN,169
Cumberland,Non-Partisan Fire Committee Cumberland District 2,,,Total,2294
Cumberland,Non-Partisan Fire Committee Cumberland District 2,,NON,Timothy E. Hogan,2276
Cumberland,Non-Partisan Fire Committee Cumberland District 2,,NON,WRITE-IN,18
Cumberland,Non-Partisan Fire Committee Cumberland District 3,,,Total,1928
Cumberland,Non-Partisan Fire Committee Cumberland District 3,,NON,Cynthia M. Ouellette,1904
Cumberland,Non-Partisan Fire Committee Cumberland District 3,,NON,WRITE-IN,24
Cumberland,Non-Partisan Fire Committee Cumberland District 4,,,Total,2345
Cumberland,Non-Partisan Fire Committee Cumberland District 4,,NON,Phillip C. Koutsogiane,2311
Cumberland,Non-Partisan Fire Committee Cumberland District 4,,NON,WRITE-IN,34
Cumberland,Non-Partisan Fire Committee Cumberland District 5,,,Total,1911
Cumberland,Non-Partisan Fire Committee Cumberland District 5,,NON,Vincent M. Picone,1879
Cumberland,Non-Partisan Fire Committee Cumberland District 5,,NON,WRITE-IN,32
Cumberland,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,,Total,13276
Cumberland,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,NON,Approve,10387
Cumberland,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,NON,Reject,2889
Cumberland,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,,Total,13120
Cumberland,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,NON,Approve,7567
Cumberland,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,NON,Reject,5553
Cumberland,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,,Total,13165
Cumberland,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,NON,Approve,10542
Cumberland,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,NON,Reject,2623
Cumberland,4. STREET PAVEMENT IMPROVEMENTS TOWN OF CUMBERLAND,,,Total,13342
Cumberland,4. STREET PAVEMENT IMPROVEMENTS TOWN OF CUMBERLAND,,NON,Approve,11741
Cumberland,4. STREET PAVEMENT IMPROVEMENTS TOWN OF CUMBERLAND,,NON,Reject,1601
Cumberland,"5. CONSTRUCTION, REPAIR AND RENOVATION OF SCHOOLS",,,Total,13316
Cumberland,"5. CONSTRUCTION, REPAIR AND RENOVATION OF SCHOOLS",,NON,Approve,10538
Cumberland,"5. CONSTRUCTION, REPAIR AND RENOVATION OF SCHOOLS",,NON,Reject,2778
Cumberland,6. TERM AND TERM LIMITS OF ELECTED OFFICIALS,,,Total,12929
Cumberland,6. TERM AND TERM LIMITS OF ELECTED OFFICIALS,,NON,Approve,6695
Cumberland,6. TERM AND TERM LIMITS OF ELECTED OFFICIALS,,NON,Reject,6234
Cumberland,7. TERM OF MAYORAL APPOINTMENTS TOWN OF CUMBERLAND,,,Total,12599
Cumberland,7. TERM OF MAYORAL APPOINTMENTS TOWN OF CUMBERLAND,,NON,Approve,8745
Cumberland,7. TERM OF MAYORAL APPOINTMENTS TOWN OF CUMBERLAND,,NON,Reject,3854
Cumberland,8. NOTIFICATION AND APPROVAL OF MAYORAL APPOINTMENTS,,,Total,12673
Cumberland,8. NOTIFICATION AND APPROVAL OF MAYORAL APPOINTMENTS,,NON,Approve,10489
Cumberland,8. NOTIFICATION AND APPROVAL OF MAYORAL APPOINTMENTS,,NON,Reject,2184
Cumberland,"9. TERM OF CHIEF OF POLICE, RESCUE DIRECTOR AND WATER",,,Total,12696
Cumberland,"9. TERM OF CHIEF OF POLICE, RESCUE DIRECTOR AND WATER",,NON,Approve,8538
Cumberland,"9. TERM OF CHIEF OF POLICE, RESCUE DIRECTOR AND WATER",,NON,Reject,4158
Cumberland,10. HIRING LEGAL COUNSEL FOR THE TOWN,,,Total,12436
Cumberland,10. HIRING LEGAL COUNSEL FOR THE TOWN,,NON,Approve,7505
Cumberland,10. HIRING LEGAL COUNSEL FOR THE TOWN,,NON,Reject,4931
Cumberland,11. UPDATING OF DEPARTMENT OF RESCUE SERVICES,,,Total,12814
Cumberland,11. UPDATING OF DEPARTMENT OF RESCUE SERVICES,,NON,Approve,10821
Cumberland,11. UPDATING OF DEPARTMENT OF RESCUE SERVICES,,NON,Reject,1993
Cumberland,12. MISCELLANEOUS AMENDMENTS TOWN OF CUMBERLAND,,,Total,12502
Cumberland,12. MISCELLANEOUS AMENDMENTS TOWN OF CUMBERLAND,,NON,Approve,9083
Cumberland,12. MISCELLANEOUS AMENDMENTS TOWN OF CUMBERLAND,,NON,Reject,3419
East Greenwich,Senator in Congress,,,Total,6669
East Greenwich,Senator in Congress,,DEM,Sheldon Whitehouse,3775
East Greenwich,Senator in Congress,,REP,"Robert G. Flanders, Jr.",2884
East Greenwich,Senator in Congress,,NON,WRITE-IN,10
East Greenwich,Representative in Congress District 2,,,Total,6592
East Greenwich,Representative in Congress District 2,,DEM,James R. Langevin,4202
East Greenwich,Representative in Congress District 2,,REP,Salvatore G. Caiozzo,2380
East Greenwich,Representative in Congress District 2,,NON,WRITE-IN,10
East Greenwich,Governor,,,Total,6663
East Greenwich,Governor,,DEM,Gina M. Raimondo,3447
East Greenwich,Governor,,REP,Allan W. Fung,2657
East Greenwich,Governor,,Ind,Joseph A. Trillo,225
East Greenwich,Governor,,MOD,William H. Gilbert,187
East Greenwich,Governor,,Ind,Luis Daniel Munoz,74
East Greenwich,Governor,,Com,Anne Armstrong,43
East Greenwich,Governor,,NON,WRITE-IN,30
East Greenwich,Lieutenant Governor,,,Total,6470
East Greenwich,Lieutenant Governor,,DEM,Daniel J. McKee,3833
East Greenwich,Lieutenant Governor,,REP,Paul E. Pence,2152
East Greenwich,Lieutenant Governor,,MOD,Joel J. Hellmann,184
East Greenwich,Lieutenant Governor,,Ind,Jonathan J. Riccitelli,150
East Greenwich,Lieutenant Governor,,Ind,Ross K. McCurdy,118
East Greenwich,Lieutenant Governor,,NON,WRITE-IN,33
East Greenwich,Secretary of State,,,Total,6520
East Greenwich,Secretary of State,,DEM,Nellie M. Gorbea,4154
East Greenwich,Secretary of State,,REP,Pat V. Cortellessa,2362
East Greenwich,Secretary of State,,NON,WRITE-IN,4
East Greenwich,Attorney General,,,Total,6018
East Greenwich,Attorney General,,DEM,Peter F. Neronha,4903
East Greenwich,Attorney General,,Com,Alan Gordon,1034
East Greenwich,Attorney General,,NON,WRITE-IN,81
East Greenwich,General Treasurer,,,Total,6491
East Greenwich,General Treasurer,,DEM,Seth Magaziner,3867
East Greenwich,General Treasurer,,REP,Michael G. Riley,2613
East Greenwich,General Treasurer,,NON,WRITE-IN,11
East Greenwich,Senator in General Assembly District 33,,,Total,335
East Greenwich,Senator in General Assembly District 33,,DEM,Leonidas P. Raptakis,202
East Greenwich,Senator in General Assembly District 33,,REP,Scott R. Copley,131
East Greenwich,Senator in General Assembly District 33,,NON,WRITE-IN,2
East Greenwich,Senator in General Assembly District 35,,,Total,6205
East Greenwich,Senator in General Assembly District 35,,DEM,Bridget G. Valverde,3219
East Greenwich,Senator in General Assembly District 35,,REP,Dana W. Gee,2982
East Greenwich,Senator in General Assembly District 35,,NON,WRITE-IN,4
East Greenwich,Representative in General Assembly District 30,,,Total,6546
East Greenwich,Representative in General Assembly District 30,,DEM,Justine A. Caldwell,3414
East Greenwich,Representative in General Assembly District 30,,REP,Antonio Giarrusso,3124
East Greenwich,Representative in General Assembly District 30,,NON,WRITE-IN,8
East Greenwich,Town Council TOWN OF EAST GREENWICH,,,Total,29651
East Greenwich,Town Council TOWN OF EAST GREENWICH,,DEM,Mark Schwager,4179
East Greenwich,Town Council TOWN OF EAST GREENWICH,,DEM,Michael P. Donegan,3872
East Greenwich,Town Council TOWN OF EAST GREENWICH,,DEM,Renu R. Englehart,3740
East Greenwich,Town Council TOWN OF EAST GREENWICH,,DEM,Michael J. Zarrella,3324
East Greenwich,Town Council TOWN OF EAST GREENWICH,,DEM,Caryn P. Corenthal,3130
East Greenwich,Town Council TOWN OF EAST GREENWICH,,REP,Andrew F. Deutsch,2340
East Greenwich,Town Council TOWN OF EAST GREENWICH,,Ind,Sean T. O&#39;Leary,2292
East Greenwich,Town Council TOWN OF EAST GREENWICH,,REP,Charles P. Callanan,2276
East Greenwich,Town Council TOWN OF EAST GREENWICH,,REP,Suzanne McGee Cienki,2218
East Greenwich,Town Council TOWN OF EAST GREENWICH,,Ind,William S. Higgins,2216
East Greenwich,Town Council TOWN OF EAST GREENWICH,,NON,WRITE-IN,64
East Greenwich,School Committee TOWN OF EAST GREENWICH,,,Total,19859
East Greenwich,School Committee TOWN OF EAST GREENWICH,,DEM,Alyson D. Powell,4375
East Greenwich,School Committee TOWN OF EAST GREENWICH,,DEM,Lori McEwen,4368
East Greenwich,School Committee TOWN OF EAST GREENWICH,,DEM,Elizabeth Anne Musella,4093
East Greenwich,School Committee TOWN OF EAST GREENWICH,,DEM,Eugene P. Quinn,3834
East Greenwich,School Committee TOWN OF EAST GREENWICH,,Ind,Susan M. Records,2911
East Greenwich,School Committee TOWN OF EAST GREENWICH,,NON,WRITE-IN,278
East Greenwich,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,,Total,6324
East Greenwich,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,NON,Approve,4722
East Greenwich,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,NON,Reject,1602
East Greenwich,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,,Total,6285
East Greenwich,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,NON,Approve,3786
East Greenwich,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,NON,Reject,2499
East Greenwich,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,,Total,6324
East Greenwich,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,NON,Approve,4905
East Greenwich,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,NON,Reject,1419
East Providence,Senator in Congress,,,Total,17042
East Providence,Senator in Congress,,DEM,Sheldon Whitehouse,11441
East Providence,Senator in Congress,,REP,"Robert G. Flanders, Jr.",5547
East Providence,Senator in Congress,,NON,WRITE-IN,54
East Providence,Representative in Congress District 1,,,Total,16952
East Providence,Representative in Congress District 1,,DEM,David N. Cicilline,11572
East Providence,Representative in Congress District 1,,REP,Patrick J. Donovan,5332
East Providence,Representative in Congress District 1,,NON,WRITE-IN,48
East Providence,Governor,,,Total,17052
East Providence,Governor,,DEM,Gina M. Raimondo,9974
East Providence,Governor,,REP,Allan W. Fung,5084
East Providence,Governor,,Ind,Joseph A. Trillo,906
East Providence,Governor,,MOD,William H. Gilbert,488
East Providence,Governor,,Ind,Luis Daniel Munoz,306
East Providence,Governor,,Com,Anne Armstrong,226
East Providence,Governor,,NON,WRITE-IN,68
East Providence,Lieutenant Governor,,,Total,16550
East Providence,Lieutenant Governor,,DEM,Daniel J. McKee,11288
East Providence,Lieutenant Governor,,REP,Paul E. Pence,3919
East Providence,Lieutenant Governor,,MOD,Joel J. Hellmann,522
East Providence,Lieutenant Governor,,Ind,Jonathan J. Riccitelli,364
East Providence,Lieutenant Governor,,Ind,Ross K. McCurdy,342
East Providence,Lieutenant Governor,,NON,WRITE-IN,115
East Providence,Secretary of State,,,Total,16591
East Providence,Secretary of State,,DEM,Nellie M. Gorbea,12204
East Providence,Secretary of State,,REP,Pat V. Cortellessa,4351
East Providence,Secretary of State,,NON,WRITE-IN,36
East Providence,Attorney General,,,Total,15695
East Providence,Attorney General,,DEM,Peter F. Neronha,12899
East Providence,Attorney General,,Com,Alan Gordon,2631
East Providence,Attorney General,,NON,WRITE-IN,165
East Providence,General Treasurer,,,Total,16520
East Providence,General Treasurer,,DEM,Seth Magaziner,11734
East Providence,General Treasurer,,REP,Michael G. Riley,4752
East Providence,General Treasurer,,NON,WRITE-IN,34
East Providence,Senator in General Assembly District 14,,,Total,7148
East Providence,Senator in General Assembly District 14,,DEM,Valarie J. Lawson,6867
East Providence,Senator in General Assembly District 14,,NON,WRITE-IN,281
East Providence,Senator in General Assembly District 18,,,Total,6176
East Providence,Senator in General Assembly District 18,,DEM,"William J. Conley, Jr.",4533
East Providence,Senator in General Assembly District 18,,Ind,Jack R. Peters,1610
East Providence,Senator in General Assembly District 18,,NON,WRITE-IN,33
East Providence,Senator in General Assembly District 32,,,Total,1796
East Providence,Senator in General Assembly District 32,,DEM,Cynthia Armour Coyne,1183
East Providence,Senator in General Assembly District 32,,REP,David Aucoin,613
East Providence,Senator in General Assembly District 32,,NON,WRITE-IN,0
East Providence,Representative in General Assembly District 63,,,Total,4717
East Providence,Representative in General Assembly District 63,,DEM,Katherine S. Kazarian,4525
East Providence,Representative in General Assembly District 63,,NON,WRITE-IN,192
East Providence,Representative in General Assembly District 64,,,Total,3206
East Providence,Representative in General Assembly District 64,,DEM,Jose R. Serodio,3080
East Providence,Representative in General Assembly District 64,,NON,WRITE-IN,126
East Providence,Representative in General Assembly District 65,,,Total,4596
East Providence,Representative in General Assembly District 65,,DEM,Gregg Amore,4445
East Providence,Representative in General Assembly District 65,,NON,WRITE-IN,151
East Providence,Representative in General Assembly District 66,,,Total,2030
East Providence,Representative in General Assembly District 66,,DEM,Liana M. Cassar,1184
East Providence,Representative in General Assembly District 66,,REP,Rhonda Holmes,839
East Providence,Representative in General Assembly District 66,,NON,WRITE-IN,7
East Providence,Mayor CITY OF EAST PROVIDENCE,,,Total,16053
East Providence,Mayor CITY OF EAST PROVIDENCE,,NON,Roberto L. DaSilva,8384
East Providence,Mayor CITY OF EAST PROVIDENCE,,NON,James M. Russo,7552
East Providence,Mayor CITY OF EAST PROVIDENCE,,NON,WRITE-IN,117
East Providence,Council-At-Large CITY OF EAST PROVIDENCE,,,Total,14264
East Providence,Council-At-Large CITY OF EAST PROVIDENCE,,NON,Robert P. Rodericks,7503
East Providence,Council-At-Large CITY OF EAST PROVIDENCE,,NON,Kalyn A. Chattelle,6613
East Providence,Council-At-Large CITY OF EAST PROVIDENCE,,NON,WRITE-IN,148
East Providence,Council East Providence Ward 1,,,Total,3801
East Providence,Council East Providence Ward 1,,NON,Robert Britto,3715
East Providence,Council East Providence Ward 1,,NON,WRITE-IN,86
East Providence,Council East Providence Ward 2,,,Total,2953
East Providence,Council East Providence Ward 2,,NON,Anna M. Sousa,1692
East Providence,Council East Providence Ward 2,,NON,Joshua Luis Pereira,1236
East Providence,Council East Providence Ward 2,,NON,WRITE-IN,25
East Providence,Council East Providence Ward 3,,,Total,2970
East Providence,Council East Providence Ward 3,,NON,Nathan W. Cahoon,2911
East Providence,Council East Providence Ward 3,,NON,WRITE-IN,59
East Providence,Council East Providence Ward 4,,,Total,3842
East Providence,Council East Providence Ward 4,,NON,Ricardo Dias Mourato,3735
East Providence,Council East Providence Ward 4,,NON,WRITE-IN,107
East Providence,School Committee-At-Large CITY OF EAST PROVIDENCE,,,Total,13266
East Providence,School Committee-At-Large CITY OF EAST PROVIDENCE,,NON,Joel Monteiro,13000
East Providence,School Committee-At-Large CITY OF EAST PROVIDENCE,,NON,WRITE-IN,266
East Providence,School Committee East Providence Ward 1,,,Total,3660
East Providence,School Committee East Providence Ward 1,,NON,Charles S. Tsonos,3585
East Providence,School Committee East Providence Ward 1,,NON,WRITE-IN,75
East Providence,School Committee East Providence Ward 2,,,Total,2583
East Providence,School Committee East Providence Ward 2,,NON,Anthony J. Ferreira,2531
East Providence,School Committee East Providence Ward 2,,NON,WRITE-IN,52
East Providence,School Committee East Providence Ward 3,,,Total,3058
East Providence,School Committee East Providence Ward 3,,NON,Karen Jean Oliveira,3015
East Providence,School Committee East Providence Ward 3,,NON,WRITE-IN,43
East Providence,School Committee East Providence Ward 4,,,Total,3901
East Providence,School Committee East Providence Ward 4,,NON,Jessica Beauchaine,3826
East Providence,School Committee East Providence Ward 4,,NON,WRITE-IN,75
East Providence,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,,Total,16286
East Providence,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,NON,Approve,13202
East Providence,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,NON,Reject,3084
East Providence,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,,Total,15956
East Providence,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,NON,Approve,9786
East Providence,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,NON,Reject,6170
East Providence,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,,Total,16072
East Providence,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,NON,Approve,13203
East Providence,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,NON,Reject,2869
East Providence,"4. NEW HIGH SCHOOL $189,500,000 BONDS AND NOTES",,,Total,15936
East Providence,"4. NEW HIGH SCHOOL $189,500,000 BONDS AND NOTES",,NON,Approve,12373
East Providence,"4. NEW HIGH SCHOOL $189,500,000 BONDS AND NOTES",,NON,Reject,3563
Exeter,Senator in Congress,,,Total,2986
Exeter,Senator in Congress,,REP,"Robert G. Flanders, Jr.",1529
Exeter,Senator in Congress,,DEM,Sheldon Whitehouse,1450
Exeter,Senator in Congress,,NON,WRITE-IN,7
Exeter,Representative in Congress District 2,,,Total,2961
Exeter,Representative in Congress District 2,,DEM,James R. Langevin,1600
Exeter,Representative in Congress District 2,,REP,Salvatore G. Caiozzo,1357
Exeter,Representative in Congress District 2,,NON,WRITE-IN,4
Exeter,Governor,,,Total,2976
Exeter,Governor,,REP,Allan W. Fung,1420
Exeter,Governor,,DEM,Gina M. Raimondo,1213
Exeter,Governor,,Ind,Joseph A. Trillo,167
Exeter,Governor,,MOD,William H. Gilbert,102
Exeter,Governor,,Com,Anne Armstrong,35
Exeter,Governor,,Ind,Luis Daniel Munoz,33
Exeter,Governor,,NON,WRITE-IN,6
Exeter,Lieutenant Governor,,,Total,2888
Exeter,Lieutenant Governor,,DEM,Daniel J. McKee,1366
Exeter,Lieutenant Governor,,REP,Paul E. Pence,1212
Exeter,Lieutenant Governor,,Ind,Jonathan J. Riccitelli,136
Exeter,Lieutenant Governor,,MOD,Joel J. Hellmann,92
Exeter,Lieutenant Governor,,Ind,Ross K. McCurdy,73
Exeter,Lieutenant Governor,,NON,WRITE-IN,9
Exeter,Secretary of State,,,Total,2895
Exeter,Secretary of State,,DEM,Nellie M. Gorbea,1616
Exeter,Secretary of State,,REP,Pat V. Cortellessa,1274
Exeter,Secretary of State,,NON,WRITE-IN,5
Exeter,Attorney General,,,Total,2605
Exeter,Attorney General,,DEM,Peter F. Neronha,1893
Exeter,Attorney General,,Com,Alan Gordon,683
Exeter,Attorney General,,NON,WRITE-IN,29
Exeter,General Treasurer,,,Total,2920
Exeter,General Treasurer,,DEM,Seth Magaziner,1505
Exeter,General Treasurer,,REP,Michael G. Riley,1411
Exeter,General Treasurer,,NON,WRITE-IN,4
Exeter,Senator in General Assembly District 34,,,Total,2909
Exeter,Senator in General Assembly District 34,,REP,Elaine J. Morgan,1628
Exeter,Senator in General Assembly District 34,,DEM,Jennifer C. Douglas,1279
Exeter,Senator in General Assembly District 34,,NON,WRITE-IN,2
Exeter,Representative in General Assembly District 31,,,Total,689
Exeter,Representative in General Assembly District 31,,DEM,Julie A. Casimiro,621
Exeter,Representative in General Assembly District 31,,NON,WRITE-IN,68
Exeter,Representative in General Assembly District 39,,,Total,2047
Exeter,Representative in General Assembly District 39,,REP,Justin K. Price,1180
Exeter,Representative in General Assembly District 39,,DEM,William Degnan,865
Exeter,Representative in General Assembly District 39,,NON,WRITE-IN,2
Exeter,Town Moderator TOWN OF EXETER,,,Total,2311
Exeter,Town Moderator TOWN OF EXETER,,DEM,Peter V. Lacouture,2257
Exeter,Town Moderator TOWN OF EXETER,,NON,WRITE-IN,54
Exeter,Town Clerk TOWN OF EXETER,,,Total,2390
Exeter,Town Clerk TOWN OF EXETER,,DEM,Lynn M. Hawkins,2339
Exeter,Town Clerk TOWN OF EXETER,,NON,WRITE-IN,51
Exeter,School Committee TOWN OF EXETER,,,Total,4496
Exeter,School Committee TOWN OF EXETER,,REP,Diane Bampton Allen,1562
Exeter,School Committee TOWN OF EXETER,,Ind,Theresa C. Donovan,1497
Exeter,School Committee TOWN OF EXETER,,REP,Michael J. Picillo,1397
Exeter,School Committee TOWN OF EXETER,,NON,WRITE-IN,40
Exeter,Town Council TOWN OF EXETER,,,Total,11928
Exeter,Town Council TOWN OF EXETER,,DEM,Calvin A. Ellis,1580
Exeter,Town Council TOWN OF EXETER,,Ind,Francis Paul DiGregorio,1339
Exeter,Town Council TOWN OF EXETER,,DEM,Robert M. Conn,1311
Exeter,Town Council TOWN OF EXETER,,DEM,Manuel Andrews,1306
Exeter,Town Council TOWN OF EXETER,,REP,Daniel W. Patterson,1280
Exeter,Town Council TOWN OF EXETER,,REP,"Francis T. Maher, Jr.",1274
Exeter,Town Council TOWN OF EXETER,,Ind,"Raymond A. Morrissey, Jr.",1170
Exeter,Town Council TOWN OF EXETER,,Ind,Marvin John Hughes,999
Exeter,Town Council TOWN OF EXETER,,Ind,Edward F. Nataly,991
Exeter,Town Council TOWN OF EXETER,,Ind,Erik Gjelsvik,634
Exeter,Town Council TOWN OF EXETER,,NON,WRITE-IN,44
Exeter,Town Sergeant TOWN OF EXETER,,,Total,2419
Exeter,Town Sergeant TOWN OF EXETER,,Ind,William G. Donovan,2390
Exeter,Town Sergeant TOWN OF EXETER,,NON,WRITE-IN,29
Exeter,Town Treasurer TOWN OF EXETER,,,Total,2329
Exeter,Town Treasurer TOWN OF EXETER,,DEM,Maria Lawler,2286
Exeter,Town Treasurer TOWN OF EXETER,,NON,WRITE-IN,43
Exeter,Director Of Social Services TOWN OF EXETER,,,Total,2340
Exeter,Director Of Social Services TOWN OF EXETER,,Ind,Christine Heart-Skaggs,2326
Exeter,Director Of Social Services TOWN OF EXETER,,NON,WRITE-IN,14
Exeter,Zoning Inspector TOWN OF EXETER,,,Total,2759
Exeter,Zoning Inspector TOWN OF EXETER,,REP,Hal Morgan,1554
Exeter,Zoning Inspector TOWN OF EXETER,,Ind,Richard H. Armstrong,1200
Exeter,Zoning Inspector TOWN OF EXETER,,NON,WRITE-IN,5
Exeter,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,,Total,2854
Exeter,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,NON,Approve,1862
Exeter,"1. RHODE ISLAND SCHOOL BUILDINGS - $250,000,000",,NON,Reject,992
Exeter,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,,Total,2846
Exeter,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,NON,Approve,1439
Exeter,"2. HIGHER EDUCATION FACILITIES - $70,000,000",,NON,Reject,1407
Exeter,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,,Total,2851
Exeter,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,NON,Approve,2002
Exeter,"3. GREEN ECONOMY AND CLEAN WATER - $47,300,000",,NON,Reject,849
Foster,Senator in Congress,,,Total,2128
Foster,Senator in Congress,,REP,"Robert G. Flanders, Jr.",1129
Foster,Senator in Congress,,DEM,Sheldon Whitehouse,995
Foster,Senator in Congress,,NON,WRITE-IN,4
Foster,Representative in Congress District 2,,,Total,2112
Foster,Representative in Congress District 2,,DEM,James R. Langevin,1106
Foster,Representative in Congress District 2,,REP,Salvatore G. Caiozzo,1004
Foster,Representative in Congress District 2,,NON,WRITE-IN,2
Foster,Governor,,,Total,2125
Foster,Governor,,REP,Allan W. Fung,1091
Foster,Governor,,DEM,Gina M. Raimondo,781
Foster,Governor,,Ind,Joseph A. Trillo,114
Foster,Governor,,MOD,William H. Gilbert,75
Foster,Governor,,Ind,Luis Daniel Munoz,33
Foster,Governor,,Com,Anne Armstrong,21
Foster,Governor,,NON,WRITE-IN,10
Foster,Lieutenant Governor,,,Total,2101
Foster,Lieutenant Governor,,DEM,Daniel J. McKee,793
Foster,Lieutenant Governor,,REP,Paul E. Pence,743
Foster,Lieutenant Governor,,Ind,Ross K. McCurdy,467
Foster,Lieutenant Governor,,Ind,Jonathan J. Riccitelli,53
Foster,Lieutenant Governor,,MOD,Joel J. Hellmann,42
Foster,Lieutenant Governor,,NON,WRITE-IN,3
Foster,Secretary of State,,,Total,2084
Foster,Secretary of State,,DEM,Nellie M. Gorbea,1119
Foster,Secretary of State,,REP,Pat V. Cortellessa,964
Foster,Secretary of State,,NON,WRITE-IN,1
Foster,Attorney General,,,Total,1890
Foster,Attorney General,,DEM,Peter F. Neronha,1280
Foster,Attorney General,,Com,Alan Gordon,591
Foster,Attorney General,,NON,WRITE-IN,19
Foster,General Treasurer,,,Total,2078
Foster,General Treasurer,,DEM,Seth Magaziner,1043
Foster,General Treasurer,,REP,Michael G. Riley,1034
Foster,General Treasurer,,NON,WRITE-IN,1
Foster,Senator in General Assembly District 21,,,Total,2125
Foster,Senator in General Assembly District 21,,REP,Gordon E. Rogers,895
Foster,Senator in General Assembly District 21,,Ind,Michael D. Fine,785
Foster,Senator in General Assembly District 21,,DEM,James S. Safford,443
Foster,Senator in General Assembly District 21,,NON,WRITE-IN,2
Foster,Representative in General Assembly District 40,,,Total,2110
Foster,Representative in General Assembly District 40,,REP,Michael W. Chippendale,1309
Foster,Representative in General Assembly District 40,,DEM,Lauren Niedel-Gresh,799
Foster,Representative in General Assembly District 40,,NON,WRITE-IN,2
Foster,Town Moderator TOWN OF FOSTER,,,Total,1732
Foster,Town Moderator TOWN OF FOSTER,,REP,Robert A. Boyden,1673
Foster,Town Moderator TOWN OF FOSTER,,NON,WRITE-IN,59
Foster,Town Clerk TOWN OF FOSTER,,,Total,1743
Foster,Town Clerk TOWN OF FOSTER,,REP,Susan M. Dillon,1688
Foster,Town Clerk TOWN OF FOSTER,,NON,WRITE-IN,55
Foster,Town Council TOWN OF FOSTER,,,Total,9583
Foster,Town Council TOWN OF FOSTER,,REP,Denise L. DiFranco,1127
