GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01,SUBHD020101,SUBHD020102,SUBHD020103,SUBHD020104,SUBHD020105,SUBHD020106,SUBHD020107,SUBHD0202,HD03
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Total population,Race - One race - Total,Race - One race - White,Race - One race - Black or African American,Race - One race - American Indian and Alaska Native,Race - One race - Asian,Race - One race - Native Hawaiian and Other Pacific Islander,Race - One race - Some Other Race,Race - Two or More Races,Hispanic or Latino (of any race)
0400000US26,26,Michigan,0500000US26165,26165,Michigan - Wexford County,Wexford County,32735,32241,31590,129,205,195,18,104,494,519
0400000US37,37,North Carolina,0400000US37,37,North Carolina,North Carolina,9535483,9329284,6528950,2048628,122110,208962,6604,414030,206199,800120
0400000US37,37,North Carolina,0500000US37001,37001,North Carolina - Alamance County,Alamance County,151131,147995,107420,28369,1020,1837,58,9291,3136,16639
0400000US37,37,North Carolina,0500000US37003,37003,North Carolina - Alexander County,Alexander County,37198,36675,33324,2043,98,360,12,838,523,1601
0400000US37,37,North Carolina,0500000US37005,37005,North Carolina - Alleghany County,Alleghany County,11155,11027,10288,140,27,54,3,515,128,1004
0400000US37,37,North Carolina,0500000US37007,37007,North Carolina - Anson County,Anson County,26948,26611,12707,13090,165,288,4,357,337,812
0400000US37,37,North Carolina,0500000US37009,37009,North Carolina - Ashe County,Ashe County,27281,27002,26050,161,65,105,8,613,279,1311
0400000US37,37,North Carolina,0500000US37011,37011,North Carolina - Avery County,Avery County,17797,17647,16364,709,75,56,8,435,150,797
0400000US37,37,North Carolina,0500000US37013,37013,North Carolina - Beaufort County,Beaufort County,47759,47152,32551,12223,208,165,19,1986,607,3166
0400000US37,37,North Carolina,0500000US37015,37015,North Carolina - Bertie County,Bertie County,21282,21085,7488,13296,96,103,6,96,197,267
0400000US37,37,North Carolina,0500000US37017,37017,North Carolina - Bladen County,Bladen County,35190,34672,19806,12268,749,70,5,1774,518,2502
0400000US37,37,North Carolina,0500000US37019,37019,North Carolina - Brunswick County,Brunswick County,107431,105496,89193,12291,761,579,38,2634,1935,5549
0400000US37,37,North Carolina,0500000US37021,37021,North Carolina - Buncombe County,Buncombe County,238318,233323,208192,15211,948,2417,289,6266,4995,14254
0400000US37,37,North Carolina,0500000US37023,37023,North Carolina - Burke County,Burke County,90912,89315,76716,6012,325,3185,303,2774,1597,4634
