OBJECTID,NAME,Shape__Area,Shape__Length
89,0809,0.000705327311379733,0.140130190800791
90,0804,0.00106667248928716,0.163624714709601
91,0903,0.000259687703419331,0.0840411272963766
92,0904,0.000783903874207681,0.181517241857275
93,0901,0.000453495116971681,0.09194590033505
94,0902,0.000983188651844102,0.154950846881797
95,0905,0.00213821115880819,0.185397670055399
96,1004,0.000348904320844667,0.0976680723294238
97,1001,0.000348870809602886,0.139181687481585
98,1002,0.000164948435440238,0.0714155208486749
99,1005,0.000293333060881196,0.0882209771941054
100,1008,0.000161203673769705,0.0708089876254465
101,1009,0.000292967158884494,0.131496372453944
102,1003,9.3130594905233e-05,0.0401195275727644
103,1006,0.000169230135725229,0.0580473888449131
104,1007,7.22757729363366e-05,0.0595537616642075
105,1010,0.000202613551891773,0.0804314009063814
106,1011,0.000424743784833481,0.117009016224549
107,1012,6.34933051060216e-05,0.049889019687604
108,1017,0.000331240371451713,0.114011528790693
109,1016,8.41305588892283e-05,0.043559249969504
110,1015,5.96203046825394e-05,0.052928190994084
111,1101,0.00185327706731186,0.221588925945687
112,1103,0.00549545635431059,0.370698413680735
113,1102,0.0089752338544713,0.589937754178991
114,1201,0.00750135470912028,0.39214626505923
115,1202,0.00705590040183779,0.370108033010064
116,1302,0.00789821218472753,0.375519641258386
117,1303,0.00103115599267767,0.229031100889332
118,1301,0.00487598610425266,0.437377393145071
119,1304,0.00216604030742928,0.309332814153801
120,1401,0.0047022148708038,0.429880567174332
121,1402,0.00494362462131903,0.356465329160779
122,1403,0.00270901556450553,0.329847362709832
123,1501,0.00120586549269319,0.364081690846313
124,1502,0.00145691787702162,0.659841762680835
125,1601,0.000199946734937839,0.0834669337670634
126,1602,0.00135312738234461,0.199733791388234
127,1603,0.000247779876417553,0.102201644700936
128,1605,0.000559218288117336,0.102067281963299
129,1604,0.00109472248641396,0.180054399225659
130,1606,7.1683786018184e-05,0.0398844612085644
131,1607,3.89107487990259e-05,0.0323750567078422
132,1608,0.000187722740975005,0.0685760229630188
133,1609,0.000212628263398074,0.0800328165732723
134,1610,0.000687455289380523,0.122115038200248
135,1611,0.000144114494332825,0.1085436226769
136,1613,0.000893686485824219,0.130634192404214
137,1612,0.00113404164608255,0.182094024947788
138,1701,0.00123711740184262,0.15306593418503
139,1706,0.000413352632904207,0.108231519321682
140,1707,0.00012104285156056,0.0543047328089863
141,1704,0.00070198497110141,0.124323739874163
142,1710,0.000140062319587742,0.0692745243681737
143,1711,8.98940118077007e-05,0.0688773311124654
144,1705,0.000225163544655516,0.0872138609028326
145,1708,0.00146687049459615,0.249677555493463
146,1702,0.000220647744527014,0.0696179267312212
147,1709,0.000455592518164849,0.12632996375319
148,1703,0.000255014754657168,0.0957422677659079
149,1801,0.00627206732883678,0.502063321374402
150,1905,0.000710302485913417,0.151677713456374
151,1904,0.000725862969147784,0.234613550287456
152,1903,0.000348583122558921,0.121940187863483
153,1902,0.000463152304291725,0.134014837206363
154,1901,0.00142254377738027,0.210621751428086
155,2001,0.00021690318317269,0.0975753931035023
156,2004,0.000950093974097399,0.209378653450324
157,2005,0.0013673330470283,0.573282170568136
158,2002,0.000728429976788902,0.189689538997922
159,2003,0.000674052170552386,0.16315502357644
160,2102,0.000432733892012038,0.146453420306622
161,2104,5.17563362336659e-05,0.0375416078339424
162,2103,4.17000478591945e-05,0.0450172867859174
163,2101,0.000142083683613237,0.0578480477540613
164,2106,0.00035162426070201,0.316860221587989
165,2107,0.000958102009917639,0.34925200904758
166,2201,0.00265412653311614,0.475395473079842
167,2401,5.3630813908967e-05,0.0407364502158792
168,2402,0.000122103079547742,0.062926499921744
169,2403,0.000104877895637401,0.0575044533550167
170,2405,0.000102886712738837,0.0662188626603136
171,2406,0.000115110155093134,0.0605707784756493
172,2408,0.000109959702285778,0.0734029039381637
173,2409,5.15764356805448e-05,0.054430106573569
174,2410,6.51114164611499e-05,0.0381960843042399
175,2412,0.000128149743204631,0.0620494603497426
176,2415,5.54379128061555e-05,0.0362386217936442
177,2416,0.000201358933964002,0.072601295240018
178,2414,7.53794638512773e-05,0.0418158800072222
179,2413,7.32728922230308e-05,0.040757910894027
180,2407,0.000144631840839793,0.0522018364218242
181,2411,0.000154819030740327,0.0577397817856494
182,2404,5.75667379507649e-05,0.0348200247597603
183,2505,0.000359445963795224,0.135633948193227
184,2603,0.000117522255777658,0.0567700288043929
185,2601,4.94116532081534e-05,0.0365148418829625
186,2604,0.000155936727878725,0.0553688261907096
187,2602,0.000119716638437239,0.0748196655586441
188,2605,3.37913161274628e-05,0.032479697631904
189,2606,6.16127833836799e-05,0.037901157075734
190,2608,0.000115586093443198,0.0590332359438122
191,2607,0.000161237398970115,0.0929707468262203
192,2610,1.01576385986846e-05,0.0168895569572003
193,2611,7.84950700563058e-05,0.047131488480147
194,2609,1.974168480956e-05,0.0256212131705376
195,2630,2.29864217544673e-05,0.023251131852422
196,2626,3.29829626934952e-05,0.0355451553803193
197,2627,0.000113940739311147,0.0674832040547755
198,2629,0.00017746554817677,0.0781496534830676
199,2625,2.30184598422056e-05,0.0205796536317774
200,2615,3.51946239334211e-05,0.0322695265515785
201,2613,0.000116401630293694,0.0858448371321175
202,2621,3.34346184445167e-05,0.0238473349098789
203,2623,2.57775384397974e-05,0.0288360555354857
204,2622,1.83714528247947e-05,0.0180258619709326
205,2616,3.38049569563736e-05,0.0295464662166173
206,2617,7.22770475931611e-05,0.0330761441624326
