office,district,candidate,party,precinct,votes,absentee_votes
President,,Donald J. Trump,R,Newport 2108,160,20
President,,Donald J. Trump,R,Newport Limited,2,0
President,,Donald J. Trump,R,Newport Presidential,81,0
President,,Donald J. Trump,R,New Shoreham 2201,213,50
President,,Donald J. Trump,R,New Shoreham Limited,0,0
President,,Donald J. Trump,R,New Shoreham Presidential,1,0
President,,Donald J. Trump,R,North Kingstown 2301,664,45
President,,Donald J. Trump,R,North Kingstown 2302,733,63
President,,Donald J. Trump,R,North Kingstown 2303,830,86
President,,Donald J. Trump,R,North Kingstown 2304,788,68
President,,Donald J. Trump,R,North Kingstown 2305,468,42
President,,Donald J. Trump,R,North Kingstown 2306,443,35
President,,Donald J. Trump,R,North Kingstown 2307,702,92
President,,Donald J. Trump,R,North Kingstown 2308,748,77
President,,Donald J. Trump,R,North Kingstown 2309,711,70
President,,Donald J. Trump,R,North Kingstown Limited,0,0
President,,Donald J. Trump,R,North Kingstown Presidential,60,4
President,,Donald J. Trump,R,North Providence 2401,353,12
President,,Donald J. Trump,R,North Providence 2402,434,27
President,,Donald J. Trump,R,North Providence 2403,504,31
President,,Donald J. Trump,R,North Providence 2404,270,13
President,,Donald J. Trump,R,North Providence 2405,341,34
President,,Donald J. Trump,R,North Providence 2406,525,19
President,,Donald J. Trump,R,North Providence 2407,601,12
President,,Donald J. Trump,R,North Providence 2408,413,20
President,,Donald J. Trump,R,North Providence 2409,221,14
President,,Donald J. Trump,R,North Providence 2410,408,30
President,,Donald J. Trump,R,North Providence 2411,646,41
President,,Donald J. Trump,R,North Providence 2412,524,23
President,,Donald J. Trump,R,North Providence 2413,276,11
President,,Donald J. Trump,R,North Providence 2414,299,10
President,,Donald J. Trump,R,North Providence 2415,288,8
President,,Donald J. Trump,R,North Providence 2416,750,34
President,,Donald J. Trump,R,North Providence Limited,1,0
President,,Donald J. Trump,R,North Providence Presidential,82,14
President,,Donald J. Trump,R,North Smithfield 2501,756,21
President,,Donald J. Trump,R,North Smithfield 2502,847,64
President,,Donald J. Trump,R,North Smithfield 2503,600,21
President,,Donald J. Trump,R,North Smithfield 2504,608,30
President,,Donald J. Trump,R,North Smithfield 2505,385,40
President,,Donald J. Trump,R,North Smithfield Limited,1,0
President,,Donald J. Trump,R,North Smithfield Presidential,45,1
President,,Donald J. Trump,R,Pawtucket 2601,94,11
President,,Donald J. Trump,R,Pawtucket 2602,81,5
President,,Donald J. Trump,R,Pawtucket 2603,351,27
President,,Donald J. Trump,R,Pawtucket 2604,251,5
President,,Donald J. Trump,R,Pawtucket 2605,69,0
President,,Donald J. Trump,R,Pawtucket 2606,58,4
President,,Donald J. Trump,R,Pawtucket 2607,239,12
President,,Donald J. Trump,R,Pawtucket 2608,231,12
President,,Donald J. Trump,R,Pawtucket 2609,38,2
President,,Donald J. Trump,R,Pawtucket 2610,19,0
President,,Donald J. Trump,R,Pawtucket 2611,91,8
President,,Donald J. Trump,R,Pawtucket 2612,350,18
President,,Donald J. Trump,R,Pawtucket 2613,255,25
President,,Donald J. Trump,R,Pawtucket 2614,234,14
President,,Donald J. Trump,R,Pawtucket 2615,84,1
President,,Donald J. Trump,R,Pawtucket 2616,77,0
President,,Donald J. Trump,R,Pawtucket 2617,59,6
President,,Donald J. Trump,R,Pawtucket 2618,531,41
President,,Donald J. Trump,R,Pawtucket 2619,358,32
President,,Donald J. Trump,R,Pawtucket 2620,479,18
President,,Donald J. Trump,R,Pawtucket 2621,202,15
President,,Donald J. Trump,R,Pawtucket 2622,105,6
President,,Donald J. Trump,R,Pawtucket 2623,126,4
President,,Donald J. Trump,R,Pawtucket 2624,196,21
President,,Donald J. Trump,R,Pawtucket 2625,80,6
President,,Donald J. Trump,R,Pawtucket 2626,14,1
President,,Donald J. Trump,R,Pawtucket 2627,210,11
President,,Donald J. Trump,R,Pawtucket 2628,514,19
President,,Donald J. Trump,R,Pawtucket 2629,580,20
President,,Donald J. Trump,R,Pawtucket 2630,43,2
President,,Donald J. Trump,R,Pawtucket 2631,96,13
President,,Donald J. Trump,R,Pawtucket Limited,2,0
President,,Donald J. Trump,R,Pawtucket Presidential,104,10
President,,Donald J. Trump,R,Portsmouth 2701,39,5
President,,Donald J. Trump,R,Portsmouth 2702,116,12
President,,Donald J. Trump,R,Portsmouth 2703,542,38
President,,Donald J. Trump,R,Portsmouth 2704,850,92
President,,Donald J. Trump,R,Portsmouth 2705,280,40
President,,Donald J. Trump,R,Portsmouth 2706,305,56
President,,Donald J. Trump,R,Portsmouth 2707,875,106
President,,Donald J. Trump,R,Portsmouth 2708,854,131
President,,Donald J. Trump,R,Portsmouth Limited,0,0
President,,Donald J. Trump,R,Portsmouth Presidential,61,18
President,,Donald J. Trump,R,Providence 2801,27,0
President,,Donald J. Trump,R,Providence 2802,28,1
President,,Donald J. Trump,R,Providence 2803,144,10
President,,Donald J. Trump,R,Providence 2804,17,1
President,,Donald J. Trump,R,Providence 2805,194,13
President,,Donald J. Trump,R,Providence 2806,11,2
President,,Donald J. Trump,R,Providence 2807,1,0
President,,Donald J. Trump,R,Providence 2808,121,14
President,,Donald J. Trump,R,Providence 2809,161,7
President,,Donald J. Trump,R,Providence 2810,4,0
President,,Donald J. Trump,R,Providence 2811,104,8
President,,Donald J. Trump,R,Providence 2812,181,10
President,,Donald J. Trump,R,Providence 2813,75,4
President,,Donald J. Trump,R,Providence 2814,93,8
President,,Donald J. Trump,R,Providence 2815,212,14
President,,Donald J. Trump,R,Providence 2816,256,35
President,,Donald J. Trump,R,Providence 2817,193,18
